Filename,PromptID,PromptType,Model,Category,Tags
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Advanced Process Control/Answer0005_BAB_Deepseek.md,5,BAB,Deepseek,Advanced Process Control,"ALM,FIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Advanced Process Control/Answer0003_BAB_Deepseek.md,3,BAB,Deepseek,Advanced Process Control,"ALM,RPT,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Advanced Process Control/Answer0002_BAB_Deepseek.md,2,BAB,Deepseek,Advanced Process Control,"ACT,ALM,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Advanced Process Control/Answer0009_BAB_Deepseek.md,9,BAB,Deepseek,Advanced Process Control,"ALM,FIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0026_BAB_Deepseek.md,26,BAB,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0021_BAB_Deepseek.md,21,BAB,Deepseek,Interlocks,"ACT,ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0022_BAB_Deepseek.md,22,BAB,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0028_BAB_Deepseek.md,28,BAB,Deepseek,Interlocks,"ACT,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0030_BAB_Deepseek.md,30,BAB,Deepseek,Mathematical Functions,"ACT,ALM,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0029_BAB_Deepseek.md,29,BAB,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0024_BAB_Deepseek.md,24,BAB,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0023_BAB_Deepseek.md,23,BAB,Deepseek,Interlocks,"ACT,ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0027_BAB_Deepseek.md,27,BAB,Deepseek,Interlocks,"ACT,FIC,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Interlocks/Answer0025_BAB_Deepseek.md,25,BAB,Deepseek,Interlocks,"ACT,INTLK,LOGIC,PIC,RPT"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0070_BAB_Deepseek.md,70,BAB,Deepseek,Sequential Control,"ACT,PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0063_BAB_Deepseek.md,63,BAB,Deepseek,Programmer Support,"LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0061_BAB_Deepseek.md,61,BAB,Deepseek,Programmer Support,"ACT,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0062_BAB_Deepseek.md,62,BAB,Deepseek,Programmer Support,"ACT,INTLK"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0069_BAB_Deepseek.md,69,BAB,Deepseek,Programmer Support,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0067_BAB_Deepseek.md,67,BAB,Deepseek,Programmer Support,"INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0064_BAB_Deepseek.md,64,BAB,Deepseek,Programmer Support,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0065_BAB_Deepseek.md,65,BAB,Deepseek,Programmer Support,"INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0066_BAB_Deepseek.md,66,BAB,Deepseek,Programmer Support,"ACT,ALM,FIC,PIC,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Programmer Support/Answer0068_BAB_Deepseek.md,68,BAB,Deepseek,Programmer Support,"LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0035_BAB_Deepseek.md,35,BAB,Deepseek,Mathematical Functions,"INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0034_BAB_Deepseek.md,34,BAB,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0033_BAB_Deepseek.md,33,BAB,Deepseek,Mathematical Functions,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0036_BAB_Deepseek.md,36,BAB,Deepseek,Mathematical Functions,"INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0039_BAB_Deepseek.md,39,BAB,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0037_BAB_Deepseek.md,37,BAB,Deepseek,Mathematical Functions,"INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0032_BAB_Deepseek.md,32,BAB,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0040_BAB_Deepseek.md,40,BAB,Deepseek,PLC Programing Tasks,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0031_BAB_Deepseek.md,31,BAB,Deepseek,Mathematical Functions,"INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Mathematical Functions/Answer0038_BAB_Deepseek.md,38,BAB,Deepseek,Mathematical Functions,"INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0055_BAB_Deepseek.md,55,BAB,Deepseek,Process Control,"ACT,ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0057_BAB_Deepseek.md,57,BAB,Deepseek,Process Control,"ACT,ALM,FIC,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0054_BAB_Deepseek.md,54,BAB,Deepseek,Process Control,"ACT,ALM,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0052_BAB_Deepseek.md,52,BAB,Deepseek,Process Control,"ACT,FIC,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0053_BAB_Deepseek.md,53,BAB,Deepseek,Process Control,"ACT,ALM,FIC,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0051_BAB_Deepseek.md,51,BAB,Deepseek,Process Control,"ACT,ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0058_BAB_Deepseek.md,58,BAB,Deepseek,Process Control,"ACT,ALM,FIC,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0056_BAB_Deepseek.md,56,BAB,Deepseek,Process Control,"ACT,ALM,LOGIC,RPT,SEN,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0060_BAB_Deepseek.md,60,BAB,Deepseek,Programmer Support,"ACT,ALM,FIC,LOGIC,RPT,SEN,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Process Control/Answer0059_BAB_Deepseek.md,59,BAB,Deepseek,Process Control,"ACT,ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0100_BAB_Deepseek.md,100,BAB,Deepseek,Unknown,"ACT,ALM,FIC,INTLK,LOGIC,RPT,SEN,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0096_BAB_Deepseek.md,96,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0091_BAB_Deepseek.md,91,BAB,Deepseek,Various Engineering Inputs,"INTLK,LOGIC,RPT,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0097_BAB_Deepseek.md,97,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,INTLK,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0094_BAB_Deepseek.md,94,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0098_BAB_Deepseek.md,98,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,INTLK,LOGIC,PIC,RPT,SEN,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0093_BAB_Deepseek.md,93,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,INTLK,LOGIC,PIC,RPT,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0099_BAB_Deepseek.md,99,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,PIC,RPT"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0092_BAB_Deepseek.md,92,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,INTLK,LOGIC,RPT,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Various Engineering Inputs/Answer0095_BAB_Deepseek.md,95,BAB,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0017_BAB_Deepseek.md,17,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0012_BAB_Deepseek.md,12,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0020_BAB_Deepseek.md,20,BAB,Deepseek,Interlocks,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0019_BAB_Deepseek.md,19,BAB,Deepseek,Diagnostics and Communication,"ALM,RPT"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0016_BAB_Deepseek.md,16,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0015_BAB_Deepseek.md,15,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0018_BAB_Deepseek.md,18,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0014_BAB_Deepseek.md,14,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0011_BAB_Deepseek.md,11,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/Diagnostics and Communication/Answer0013_BAB_Deepseek.md,13,BAB,Deepseek,Diagnostics and Communication,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0043_BAB_Deepseek.md,43,BAB,Deepseek,PLC Programing Tasks,"LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0044_BAB_Deepseek.md,44,BAB,Deepseek,PLC Programing Tasks,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0046_BAB_Deepseek.md,46,BAB,Deepseek,PLC Programing Tasks,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0045_BAB_Deepseek.md,45,BAB,Deepseek,PLC Programing Tasks,"INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0047_BAB_Deepseek.md,47,BAB,Deepseek,PLC Programing Tasks,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0041_BAB_Deepseek.md,41,BAB,Deepseek,PLC Programing Tasks,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0050_BAB_Deepseek.md,50,BAB,Deepseek,Process Control,"INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0049_BAB_Deepseek.md,49,BAB,Deepseek,PLC Programing Tasks,"ACT,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0048_BAB_Deepseek.md,48,BAB,Deepseek,PLC Programing Tasks,"ALM,LOGIC,RPT,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/B-A-B(Before-After-Before)/PLC Programing Tasks/Answer0042_BAB_Deepseek.md,42,BAB,Deepseek,PLC Programing Tasks,"ACT,ALM,FIC,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0289_RISE_Deepseek.md,289,RISE,Deepseek,Standard Algorithms,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0281_RISE_Deepseek.md,281,RISE,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0283_RISE_Deepseek.md,283,RISE,Deepseek,Standard Algorithms,"INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0286_RISE_Deepseek.md,286,RISE,Deepseek,Standard Algorithms,"INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0284_RISE_Deepseek.md,284,RISE,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0290_RISE_Deepseek.md,290,RISE,Deepseek,Various Engineering Inputs,"INTLK,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0285_RISE_Deepseek.md,285,RISE,Deepseek,Standard Algorithms,"INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0287_RISE_Deepseek.md,287,RISE,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0288_RISE_Deepseek.md,288,RISE,Deepseek,Standard Algorithms,"INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Standard Algorithms/Answer0282_RISE_Deepseek.md,282,RISE,Deepseek,Standard Algorithms,"INTLK,PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0276_RISE_Deepseek.md,276,RISE,Deepseek,Sequential Control,"ACT,INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0272_RISE_Deepseek.md,272,RISE,Deepseek,Sequential Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0275_RISE_Deepseek.md,275,RISE,Deepseek,Sequential Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0271_RISE_Deepseek.md,271,RISE,Deepseek,Sequential Control,"PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0274_RISE_Deepseek.md,274,RISE,Deepseek,Sequential Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0273_RISE_Deepseek.md,273,RISE,Deepseek,Sequential Control,"PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0279_RISE_Deepseek.md,279,RISE,Deepseek,Sequential Control,"INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0278_RISE_Deepseek.md,278,RISE,Deepseek,Sequential Control,"ALM,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0280_RISE_Deepseek.md,280,RISE,Deepseek,Standard Algorithms,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Sequential Control/Answer0277_RISE_Deepseek.md,277,RISE,Deepseek,Sequential Control,"ACT,ALM,FIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0204_RISE_Deepseek.md,204,RISE,Deepseek,Advanced Process Control,"ALM,PIC,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0205_RISE_Deepseek.md,205,RISE,Deepseek,Advanced Process Control,"RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0208_RISE_Deepseek.md,208,RISE,Deepseek,Advanced Process Control,"ALM,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0203_RISE_Deepseek.md,203,RISE,Deepseek,Advanced Process Control,"ALM,LOGIC,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0210_RISE_Deepseek.md,210,RISE,Deepseek,Diagnostics and Communication,"ALM,PIC"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0206_RISE_Deepseek.md,206,RISE,Deepseek,Advanced Process Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0201_RISE_Deepseek.md,201,RISE,Deepseek,Advanced Process Control,SEN
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0209_RISE_Deepseek.md,209,RISE,Deepseek,Advanced Process Control,"ALM,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0202_RISE_Deepseek.md,202,RISE,Deepseek,Advanced Process Control,SEN
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Advanced Process Control/Answer0207_RISE_Deepseek.md,207,RISE,Deepseek,Advanced Process Control,"LOGIC,RPT"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0221_RISE_Deepseek.md,221,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0227_RISE_Deepseek.md,227,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0224_RISE_Deepseek.md,224,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0229_RISE_Deepseek.md,229,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0228_RISE_Deepseek.md,228,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0230_RISE_Deepseek.md,230,RISE,Deepseek,Mathematical Functions,"ACT,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0222_RISE_Deepseek.md,222,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0225_RISE_Deepseek.md,225,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0223_RISE_Deepseek.md,223,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Interlocks/Answer0226_RISE_Deepseek.md,226,RISE,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0261_RISE_Deepseek.md,261,RISE,Deepseek,Programmer Support,"ACT,LOGIC,RPT"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0268_RISE_Deepseek.md,268,RISE,Deepseek,Programmer Support,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0262_RISE_Deepseek.md,262,RISE,Deepseek,Programmer Support,"LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0265_RISE_Deepseek.md,265,RISE,Deepseek,Programmer Support,"ACT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0267_RISE_Deepseek.md,267,RISE,Deepseek,Programmer Support,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0270_RISE_Deepseek.md,270,RISE,Deepseek,Sequential Control,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0264_RISE_Deepseek.md,264,RISE,Deepseek,Programmer Support,"PIC,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0263_RISE_Deepseek.md,263,RISE,Deepseek,Programmer Support,"INTLK,LOGIC,RPT"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0266_RISE_Deepseek.md,266,RISE,Deepseek,Programmer Support,"ACT,ALM,FIC,INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Programmer Support/Answer0269_RISE_Deepseek.md,269,RISE,Deepseek,Programmer Support,"INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0236_RISE_Deepseek.md,236,RISE,Deepseek,Mathematical Functions,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0232_RISE_Deepseek.md,232,RISE,Deepseek,Mathematical Functions,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0240_RISE_Deepseek.md,240,RISE,Deepseek,PLC Programing Tasks,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0239_RISE_Deepseek.md,239,RISE,Deepseek,Mathematical Functions,"ALM,INTLK,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0235_RISE_Deepseek.md,235,RISE,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0237_RISE_Deepseek.md,237,RISE,Deepseek,Mathematical Functions,"INTLK,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0238_RISE_Deepseek.md,238,RISE,Deepseek,Mathematical Functions,"INTLK,PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/R-I-S-E(Role-Input-Steps-Expectation)/Mathematical Functions/Answer0234_RISE_Deepseek.md,234,RISE,Deepseek,Mathematical Functions,"INTLK,SEN"
